dt,AverageTemperature,City
1849-06-01,22.337,Rome
1849-06-01,17.57,Paris
1849-06-01,17.619,London
1849-06-01,,Berlin
1849-06-01,21.271,Madrid
1849-06-01,,Moscow
1849-06-01,20.567,Istanbul
1849-06-01,28.363,Cairo
1849-06-01,30.296,Mumbai
1849-06-01,24.24,Beijing
1849-06-01,23.602,Tokyo
1849-06-01,23.068,New York
1849-06-01,22.817,Chicago
1849-06-01,21.62,Los Angeles
1849-06-01,8.674,Sydney
1849-06-01,11.804,Buenos Aires
1849-06-01,28.577,Lagos
1849-06-01,21.354,Nairobi
1849-06-01,30.816,Bangkok
1849-06-01,22.424,Toronto
1849-07-01,24.626,Rome
1849-07-01,,Paris
1849-07-01,,London
1849-07-01,18.74,Berlin
1849-07-01,23.718,Madrid
1849-07-01,20.596,Moscow
1849-07-01,22.893,Istanbul
1849-07-01,29.498,Cairo
1849-07-01,30.729,Mumbai
1849-07-01,25.861,Beijing
1849-07-01,25.391,Tokyo
1849-07-01,25.35,New York
1849-07-01,24.6,Chicago
1849-07-01,23.948,Los Angeles
1849-07-01,9.926,Sydney
1849-07-01,10.425,Buenos Aires
1849-07-01,28.256,Lagos
1849-07-01,20.901,Nairobi
1849-07-01,29.277,Bangkok
1849-07-01,23.089,Toronto
1849-08-01,23.621,Rome
1849-08-01,18.279,Paris
1849-08-01,,London
1849-08-01,17.947,Berlin
1849-08-01,22.713,Madrid
1849-08-01,17.072,Moscow
1849-08-01,21.269,Istanbul
1849-08-01,28.667,Cairo
1849-08-01,28.512,Mumbai
1849-08-01,24.314,Beijing
1849-08-01,24.173,Tokyo
1849-08-01,22.829,New York
1849-08-01,22.707,Chicago
1849-08-01,22.331,Los Angeles
1849-08-01,11.923,Sydney
1849-08-01,10.7,Buenos Aires
1849-08-01,28.419,Lagos
1849-08-01,19.179,Nairobi
1849-08-01,28.788,Bangkok
1849-08-01,20.546,Toronto
1849-09-01,19.835,Rome
1849-09-01,15.89,Paris
1849-09-01,14.0,London
1849-09-01,14.462,Berlin
1849-09-01,17.841,Madrid
1849-09-01,11.713,Moscow
1849-09-01,17.039,Istanbul
1849-09-01,26.114,Cairo
1849-09-01,28.408,Mumbai
1849-09-01,19.777,Beijing
1849-09-01,,Tokyo
1849-09-01,18.442,New York
1849-09-01,17.473,Chicago
1849-09-01,20.196,Los Angeles
1849-09-01,13.006,Sydney
1849-09-01,13.693,Buenos Aires
1849-09-01,26.172,Lagos
1849-09-01,18.961,Nairobi
1849-09-01,29.497,Bangkok
1849-09-01,15.274,Toronto
1849-10-01,15.575,Rome
1849-10-01,,Paris
1849-10-01,10.119,London
1849-10-01,8.65,Berlin
1849-10-01,14.078,Madrid
1849-10-01,4.286,Moscow
1849-10-01,13.394,Istanbul
1849-10-01,21.528,Cairo
1849-10-01,29.341,Mumbai
1849-10-01,12.964,Beijing
1849-10-01,15.271,Tokyo
1849-10-01,11.673,New York
1849-10-01,11.11,Chicago
1849-10-01,16.251,Los Angeles
1849-10-01,16.261,Sydney
1849-10-01,17.091,Buenos Aires
1849-10-01,25.257,Lagos
1849-10-01,17.603,Nairobi
1849-10-01,26.05,Bangkok
1849-10-01,7.547,Toronto
1849-11-01,10.969,Rome
1849-11-01,6.758,Paris
1849-11-01,5.919,London
1849-11-01,4.201,Berlin
1849-11-01,9.637,Madrid
1849-11-01,-2.363,Moscow
1849-11-01,10.07,Istanbul
1849-11-01,19.279,Cairo
1849-11-01,27.179,Mumbai
1849-11-01,5.258,Beijing
1849-11-01,10.735,Tokyo
1849-11-01,8.077,New York
1849-11-01,2.956,Chicago
1849-11-01,15.196,Los Angeles
1849-11-01,20.136,Sydney
1849-11-01,20.18,Buenos Aires
1849-11-01,24.067,Lagos
1849-11-01,17.072,Nairobi
1849-11-01,27.249,Bangkok
1849-11-01,0.552,Toronto
1849-12-01,7.337,Rome
1849-12-01,3.556,Paris
1849-12-01,3.336,London
1849-12-01,0.577,Berlin
1849-12-01,,Madrid
1849-12-01,-8.118,Moscow
1849-12-01,4.794,Istanbul
1849-12-01,14.823,Cairo
1849-12-01,25.403,Mumbai
1849-12-01,-1.005,Beijing
1849-12-01,3.73,Tokyo
1849-12-01,0.761,New York
1849-12-01,-2.734,Chicago
1849-12-01,13.027,Los Angeles
1849-12-01,23.515,Sydney
1849-12-01,24.504,Buenos Aires
1849-12-01,26.242,Lagos
1849-12-01,16.81,Nairobi
1849-12-01,25.287,Bangkok
1849-12-01,-3.241,Toronto
1850-01-01,6.053,Rome
1850-01-01,2.371,Paris
1850-01-01,2.606,London
1850-01-01,-1.084,Berlin
1850-01-01,2.757,Madrid
1850-01-01,-9.678,Moscow
1850-01-01,4.749,Istanbul
1850-01-01,14.627,Cairo
1850-01-01,22.638,Mumbai
1850-01-01,-2.257,Beijing
1850-01-01,4.766,Tokyo
1850-01-01,0.222,New York
1850-01-01,-3.22,Chicago
1850-01-01,13.009,Los Angeles
1850-01-01,24.497,Sydney
1850-01-01,24.961,Buenos Aires
1850-01-01,24.366,Lagos
1850-01-01,16.145,Nairobi
1850-01-01,25.581,Bangkok
1850-01-01,-5.88,Toronto
1850-02-01,6.387,Rome
1850-02-01,5.485,Paris
1850-02-01,3.456,London
1850-02-01,-0.101,Berlin
1850-02-01,6.661,Madrid
1850-02-01,-9.062,Moscow
1850-02-01,5.14,Istanbul
1850-02-01,16.63,Cairo
1850-02-01,24.14,Mumbai
1850-02-01,-0.823,Beijing
1850-02-01,4.905,Tokyo
1850-02-01,3.381,New York
1850-02-01,-2.656,Chicago
1850-02-01,13.008,Los Angeles
1850-02-01,22.689,Sydney
1850-02-01,23.728,Buenos Aires
1850-02-01,24.962,Lagos
1850-02-01,16.779,Nairobi
1850-02-01,26.278,Bangkok
1850-02-01,-4.624,Toronto
1850-03-01,11.497,Rome
1850-03-01,6.476,Paris
1850-03-01,8.325,London
1850-03-01,4.434,Berlin
1850-03-01,9.101,Madrid
1850-03-01,-2.638,Moscow
1850-03-01,8.913,Istanbul
1850-03-01,18.946,Cairo
1850-03-01,26.281,Mumbai
1850-03-01,5.396,Beijing
1850-03-01,9.455,Tokyo
1850-03-01,7.033,New York
1850-03-01,2.519,Chicago
1850-03-01,14.581,Los Angeles
1850-03-01,20.192,Sydney
1850-03-01,19.973,Buenos Aires
1850-03-01,25.432,Lagos
1850-03-01,16.451,Nairobi
1850-03-01,26.498,Bangkok
1850-03-01,0.042,Toronto
1850-04-01,16.017,Rome
1850-04-01,9.825,Paris
1850-04-01,10.479,London
1850-04-01,7.298,Berlin
1850-04-01,13.399,Madrid
1850-04-01,3.723,Moscow
1850-04-01,13.569,Istanbul
1850-04-01,21.683,Cairo
1850-04-01,26.544,Mumbai
1850-04-01,,Beijing
1850-04-01,16.47,Tokyo
1850-04-01,11.75,New York
1850-04-01,10.082,Chicago
1850-04-01,18.177,Los Angeles
1850-04-01,18.602,Sydney
1850-04-01,17.608,Buenos Aires
1850-04-01,27.085,Lagos
1850-04-01,18.826,Nairobi
1850-04-01,27.757,Bangkok
1850-04-01,8.982,Toronto
1850-05-01,20.471,Rome
1850-05-01,15.377,Paris
1850-05-01,15.522,London
1850-05-01,13.907,Berlin
1850-05-01,17.718,Madrid
1850-05-01,11.158,Moscow
1850-05-01,17.823,Istanbul
1850-05-01,26.394,Cairo
1850-05-01,28.436,Mumbai
1850-05-01,19.753,Beijing
1850-05-01,21.0,Tokyo
1850-05-01,19.808,New York
1850-05-01,16.525,Chicago
1850-05-01,19.709,Los Angeles
1850-05-01,12.753,Sydney
1850-05-01,12.893,Buenos Aires
1850-05-01,27.499,Lagos
1850-05-01,19.381,Nairobi
1850-05-01,27.643,Bangkok
1850-05-01,14.748,Toronto
1850-06-01,22.05,Rome
1850-06-01,18.114,Paris
1850-06-01,16.562,London
1850-06-01,17.038,Berlin
1850-06-01,22.163,Madrid
1850-06-01,16.943,Moscow
1850-06-01,21.35,Istanbul
1850-06-01,27.592,Cairo
1850-06-01,30.329,Mumbai
1850-06-01,22.939,Beijing
1850-06-01,24.173,Tokyo
1850-06-01,22.347,New York
1850-06-01,21.786,Chicago
1850-06-01,21.195,Los Angeles
1850-06-01,10.61,Sydney
1850-06-01,11.881,Buenos Aires
1850-06-01,29.295,Lagos
1850-06-01,20.161,Nairobi
1850-06-01,29.664,Bangkok
1850-06-01,20.473,Toronto
1850-07-01,23.724,Rome
1850-07-01,18.695,Paris
1850-07-01,17.938,London
1850-07-01,18.547,Berlin
1850-07-01,24.799,Madrid
1850-07-01,19.863,Moscow
1850-07-01,21.731,Istanbul
1850-07-01,29.151,Cairo
1850-07-01,30.16,Mumbai
1850-07-01,,Beijing
1850-07-01,24.981,Tokyo
1850-07-01,24.382,New York
1850-07-01,24.606,Chicago
1850-07-01,21.968,Los Angeles
1850-07-01,10.245,Sydney
1850-07-01,10.032,Buenos Aires
1850-07-01,29.916,Lagos
1850-07-01,20.211,Nairobi
1850-07-01,30.687,Bangkok
1850-07-01,23.095,Toronto
1850-08-01,22.903,Rome
1850-08-01,18.97,Paris
1850-08-01,17.851,London
1850-08-01,18.934,Berlin
1850-08-01,23.799,Madrid
1850-08-01,16.536,Moscow
1850-08-01,20.443,Istanbul
1850-08-01,28.087,Cairo
1850-08-01,28.681,Mumbai
1850-08-01,24.115,Beijing
1850-08-01,24.733,Tokyo
1850-08-01,25.04,New York
1850-08-01,22.992,Chicago
1850-08-01,22.505,Los Angeles
1850-08-01,11.988,Sydney
1850-08-01,11.302,Buenos Aires
1850-08-01,27.744,Lagos
1850-08-01,19.286,Nairobi
1850-08-01,30.697,Bangkok
1850-08-01,20.105,Toronto
1850-09-01,19.759,Rome
1850-09-01,14.39,Paris
1850-09-01,14.955,London
1850-09-01,13.584,Berlin
1850-09-01,18.901,Madrid
1850-09-01,13.511,Moscow
1850-09-01,18.56,Istanbul
1850-09-01,26.124,Cairo
1850-09-01,29.026,Mumbai
1850-09-01,18.692,Beijing
1850-09-01,20.402,Tokyo
1850-09-01,19.66,New York
1850-09-01,16.765,Chicago
1850-09-01,19.222,Los Angeles
1850-09-01,15.024,Sydney
1850-09-01,12.552,Buenos Aires
1850-09-01,27.484,Lagos
1850-09-01,21.151,Nairobi
1850-09-01,29.252,Bangkok
1850-09-01,13.53,Toronto
1850-10-01,16.081,Rome
1850-10-01,11.386,Paris
1850-10-01,11.588,London
1850-10-01,8.772,Berlin
1850-10-01,14.363,Madrid
1850-10-01,4.267,Moscow
1850-10-01,13.078,Istanbul
1850-10-01,22.855,Cairo
1850-10-01,26.994,Mumbai
1850-10-01,11.892,Beijing
1850-10-01,17.067,Tokyo
1850-10-01,11.862,New York
1850-10-01,8.962,Chicago
1850-10-01,19.426,Los Angeles
1850-10-01,18.274,Sydney
1850-10-01,17.206,Buenos Aires
1850-10-01,26.635,Lagos
1850-10-01,17.818,Nairobi
1850-10-01,28.332,Bangkok
1850-10-01,10.097,Toronto
1850-11-01,11.358,Rome
1850-11-01,6.015,Paris
1850-11-01,6.957,London
1850-11-01,5.075,Berlin
1850-11-01,9.178,Madrid
1850-11-01,,Moscow
1850-11-01,10.45,Istanbul
1850-11-01,18.395,Cairo
1850-11-01,26.753,Mumbai
1850-11-01,4.652,Beijing
1850-11-01,8.765,Tokyo
1850-11-01,6.677,New York
1850-11-01,3.762,Chicago
1850-11-01,16.208,Los Angeles
1850-11-01,20.435,Sydney
1850-11-01,21.085,Buenos Aires
1850-11-01,24.712,Lagos
1850-11-01,,Nairobi
1850-11-01,27.606,Bangkok
1850-11-01,2.186,Toronto
1850-12-01,,Rome
1850-12-01,3.459,Paris
1850-12-01,3.437,London
1850-12-01,1.537,Berlin
1850-12-01,7.529,Madrid
1850-12-01,-9.707,Moscow
1850-12-01,5.154,Istanbul
1850-12-01,17.013,Cairo
1850-12-01,22.147,Mumbai
1850-12-01,-0.185,Beijing
1850-12-01,4.709,Tokyo
1850-12-01,2.201,New York
1850-12-01,-1.279,Chicago
1850-12-01,12.375,Los Angeles
1850-12-01,24.044,Sydney
1850-12-01,24.128,Buenos Aires
1850-12-01,24.48,Lagos
1850-12-01,,Nairobi
1850-12-01,26.197,Bangkok
1850-12-01,-3.748,Toronto
1851-01-01,6.899,Rome
1851-01-01,2.006,Paris
1851-01-01,3.12,London
1851-01-01,0.308,Berlin
1851-01-01,5.602,Madrid
1851-01-01,-10.592,Moscow
1851-01-01,5.179,Istanbul
1851-01-01,14.983,Cairo
1851-01-01,25.526,Mumbai
1851-01-01,-2.774,Beijing
1851-01-01,4.794,Tokyo
1851-01-01,-0.208,New York
1851-01-01,-4.609,Chicago
1851-01-01,12.299,Los Angeles
1851-01-01,25.816,Sydney
1851-01-01,22.408,Buenos Aires
1851-01-01,24.174,Lagos
1851-01-01,15.502,Nairobi
1851-01-01,25.606,Bangkok
1851-01-01,-6.619,Toronto
1851-02-01,8.989,Rome
1851-02-01,4.024,Paris
1851-02-01,,London
1851-02-01,0.352,Berlin
1851-02-01,5.407,Madrid
1851-02-01,-10.724,Moscow
1851-02-01,4.897,Istanbul
1851-02-01,16.056,Cairo
1851-02-01,24.277,Mumbai
1851-02-01,-1.011,Beijing
1851-02-01,,Tokyo
1851-02-01,2.418,New York
1851-02-01,-1.664,Chicago
1851-02-01,12.328,Los Angeles
1851-02-01,24.365,Sydney
1851-02-01,24.05,Buenos Aires
1851-02-01,22.77,Lagos
1851-02-01,15.92,Nairobi
1851-02-01,25.64,Bangkok
1851-02-01,-3.646,Toronto
1851-03-01,9.934,Rome
1851-03-01,5.905,Paris
1851-03-01,7.204,London
1851-03-01,2.583,Berlin
1851-03-01,9.601,Madrid
1851-03-01,-2.955,Moscow
1851-03-01,8.82,Istanbul
1851-03-01,19.399,Cairo
1851-03-01,24.619,Mumbai
1851-03-01,4.103,Beijing
1851-03-01,10.305,Tokyo
1851-03-01,8.215,New York
1851-03-01,,Chicago
1851-03-01,14.26,Los Angeles
1851-03-01,20.462,Sydney
1851-03-01,20.307,Buenos Aires
1851-03-01,25.144,Lagos
1851-03-01,16.558,Nairobi
1851-03-01,27.149,Bangkok
1851-03-01,1.061,Toronto
1851-04-01,15.416,Rome
1851-04-01,11.504,Paris
1851-04-01,11.599,London
1851-04-01,7.536,Berlin
1851-04-01,14.299,Madrid
1851-04-01,4.907,Moscow
1851-04-01,14.407,Istanbul
1851-04-01,21.946,Cairo
1851-04-01,26.544,Mumbai
1851-04-01,11.407,Beijing
1851-04-01,15.772,Tokyo
1851-04-01,13.216,New York
1851-04-01,8.157,Chicago
1851-04-01,17.159,Los Angeles
1851-04-01,16.878,Sydney
1851-04-01,17.774,Buenos Aires
1851-04-01,27.331,Lagos
1851-04-01,18.974,Nairobi
1851-04-01,28.23,Bangkok
1851-04-01,8.07,Toronto
1851-05-01,19.298,Rome
1851-05-01,14.662,Paris
1851-05-01,14.616,London
1851-05-01,11.764,Berlin
1851-05-01,19.173,Madrid
1851-05-01,10.487,Moscow
1851-05-01,16.982,Istanbul
1851-05-01,26.679,Cairo
1851-05-01,30.123,Mumbai
1851-05-01,,Beijing
1851-05-01,20.385,Tokyo
1851-05-01,19.326,New York
1851-05-01,17.836,Chicago
1851-05-01,20.085,Los Angeles
1851-05-01,13.498,Sydney
1851-05-01,12.88,Buenos Aires
1851-05-01,29.037,Lagos
1851-05-01,18.769,Nairobi
1851-05-01,29.151,Bangkok
1851-05-01,15.101,Toronto
1851-06-01,24.481,Rome
1851-06-01,18.033,Paris
1851-06-01,16.048,London
1851-06-01,17.125,Berlin
1851-06-01,22.882,Madrid
1851-06-01,17.291,Moscow
1851-06-01,20.539,Istanbul
1851-06-01,28.146,Cairo
1851-06-01,29.504,Mumbai
1851-06-01,23.68,Beijing
1851-06-01,23.525,Tokyo
1851-06-01,22.484,New York
1851-06-01,21.713,Chicago
1851-06-01,21.158,Los Angeles
1851-06-01,10.547,Sydney
1851-06-01,,Buenos Aires
1851-06-01,28.554,Lagos
1851-06-01,20.44,Nairobi
1851-06-01,29.237,Bangkok
1851-06-01,19.714,Toronto
1851-07-01,24.456,Rome
1851-07-01,20.641,Paris
1851-07-01,18.997,London
1851-07-01,17.703,Berlin
1851-07-01,22.723,Madrid
1851-07-01,,Moscow
1851-07-01,22.015,Istanbul
1851-07-01,29.105,Cairo
1851-07-01,29.24,Mumbai
1851-07-01,24.807,Beijing
1851-07-01,26.535,Tokyo
1851-07-01,24.761,New York
1851-07-01,23.75,Chicago
1851-07-01,22.833,Los Angeles
1851-07-01,9.9,Sydney
1851-07-01,10.716,Buenos Aires
1851-07-01,29.697,Lagos
1851-07-01,20.238,Nairobi
1851-07-01,30.674,Bangkok
1851-07-01,23.294,Toronto
1851-08-01,24.756,Rome
1851-08-01,19.074,Paris
1851-08-01,17.36,London
1851-08-01,17.437,Berlin
1851-08-01,22.764,Madrid
1851-08-01,15.438,Moscow
1851-08-01,20.935,Istanbul
1851-08-01,28.652,Cairo
1851-08-01,28.0,Mumbai
1851-08-01,24.071,Beijing
1851-08-01,23.993,Tokyo
1851-08-01,21.153,New York
1851-08-01,22.969,Chicago
1851-08-01,20.972,Los Angeles
1851-08-01,11.144,Sydney
1851-08-01,8.681,Buenos Aires
1851-08-01,28.587,Lagos
1851-08-01,20.325,Nairobi
1851-08-01,29.823,Bangkok
1851-08-01,,Toronto
1851-09-01,19.043,Rome
1851-09-01,,Paris
1851-09-01,14.792,London
1851-09-01,15.031,Berlin
1851-09-01,19.99,Madrid
1851-09-01,12.002,Moscow
1851-09-01,17.674,Istanbul
1851-09-01,25.097,Cairo
1851-09-01,27.046,Mumbai
1851-09-01,19.342,Beijing
1851-09-01,19.988,Tokyo
1851-09-01,16.923,New York
1851-09-01,16.919,Chicago
1851-09-01,20.155,Los Angeles
1851-09-01,13.693,Sydney
1851-09-01,13.444,Buenos Aires
1851-09-01,27.781,Lagos
1851-09-01,19.465,Nairobi
1851-09-01,29.725,Bangkok
1851-09-01,15.821,Toronto
1851-10-01,15.106,Rome
1851-10-01,12.121,Paris
1851-10-01,10.357,London
1851-10-01,9.865,Berlin
1851-10-01,14.612,Madrid
1851-10-01,4.614,Moscow
1851-10-01,11.193,Istanbul
1851-10-01,21.332,Cairo
1851-10-01,26.678,Mumbai
1851-10-01,12.819,Beijing
1851-10-01,14.83,Tokyo
1851-10-01,12.88,New York
1851-10-01,9.057,Chicago
1851-10-01,18.8,Los Angeles
1851-10-01,16.659,Sydney
1851-10-01,16.722,Buenos Aires
1851-10-01,27.116,Lagos
1851-10-01,16.954,Nairobi
1851-10-01,27.578,Bangkok
1851-10-01,8.253,Toronto
1851-11-01,11.346,Rome
1851-11-01,7.886,Paris
1851-11-01,6.799,London
1851-11-01,3.174,Berlin
1851-11-01,10.158,Madrid
1851-11-01,-3.557,Moscow
1851-11-01,9.345,Istanbul
1851-11-01,18.838,Cairo
1851-11-01,24.072,Mumbai
1851-11-01,5.183,Beijing
1851-11-01,9.876,Tokyo
1851-11-01,6.708,New York
1851-11-01,2.83,Chicago
1851-11-01,14.35,Los Angeles
1851-11-01,21.848,Sydney
1851-11-01,19.915,Buenos Aires
1851-11-01,24.007,Lagos
1851-11-01,18.897,Nairobi
1851-11-01,27.503,Bangkok
1851-11-01,-1.128,Toronto
1851-12-01,6.187,Rome
1851-12-01,3.484,Paris
1851-12-01,3.074,London
1851-12-01,-0.025,Berlin
1851-12-01,6.476,Madrid
1851-12-01,-9.278,Moscow
1851-12-01,6.124,Istanbul
1851-12-01,15.807,Cairo
1851-12-01,24.244,Mumbai
1851-12-01,-1.471,Beijing
1851-12-01,,Tokyo
1851-12-01,2.355,New York
1851-12-01,,Chicago
1851-12-01,12.997,Los Angeles
1851-12-01,23.078,Sydney
1851-12-01,22.846,Buenos Aires
1851-12-01,24.694,Lagos
1851-12-01,,Nairobi
1851-12-01,25.345,Bangkok
1851-12-01,-4.479,Toronto
1852-01-01,6.652,Rome
1852-01-01,2.0,Paris
1852-01-01,2.06,London
1852-01-01,-2.017,Berlin
1852-01-01,5.409,Madrid
1852-01-01,,Moscow
1852-01-01,4.296,Istanbul
1852-01-01,15.028,Cairo
1852-01-01,25.047,Mumbai
1852-01-01,-2.137,Beijing
1852-01-01,5.009,Tokyo
1852-01-01,0.578,New York
1852-01-01,-3.058,Chicago
1852-01-01,12.288,Los Angeles
1852-01-01,24.979,Sydney
1852-01-01,23.99,Buenos Aires
1852-01-01,23.748,Lagos
1852-01-01,15.837,Nairobi
1852-01-01,25.578,Bangkok
1852-01-01,-5.072,Toronto
1852-02-01,7.55,Rome
1852-02-01,2.949,Paris
1852-02-01,5.517,London
1852-02-01,-0.466,Berlin
1852-02-01,5.762,Madrid
1852-02-01,-8.113,Moscow
1852-02-01,,Istanbul
1852-02-01,15.972,Cairo
1852-02-01,25.786,Mumbai
1852-02-01,-0.284,Beijing
1852-02-01,5.308,Tokyo
1852-02-01,2.283,New York
1852-02-01,-1.414,Chicago
1852-02-01,13.568,Los Angeles
1852-02-01,24.277,Sydney
1852-02-01,23.681,Buenos Aires
1852-02-01,25.545,Lagos
1852-02-01,19.415,Nairobi
1852-02-01,26.498,Bangkok
1852-02-01,-3.967,Toronto
1852-03-01,10.98,Rome
1852-03-01,7.278,Paris
1852-03-01,6.875,London
1852-03-01,4.311,Berlin
1852-03-01,9.426,Madrid
1852-03-01,-5.687,Moscow
1852-03-01,10.137,Istanbul
1852-03-01,18.477,Cairo
1852-03-01,26.711,Mumbai
1852-03-01,4.815,Beijing
1852-03-01,9.071,Tokyo
1852-03-01,5.889,New York
1852-03-01,2.219,Chicago
1852-03-01,14.947,Los Angeles
1852-03-01,22.234,Sydney
1852-03-01,19.604,Buenos Aires
1852-03-01,26.031,Lagos
1852-03-01,16.952,Nairobi
1852-03-01,27.662,Bangkok
1852-03-01,0.507,Toronto
1852-04-01,16.577,Rome
1852-04-01,10.235,Paris
1852-04-01,11.35,London
1852-04-01,8.431,Berlin
1852-04-01,13.857,Madrid
1852-04-01,3.393,Moscow
1852-04-01,13.022,Istanbul
1852-04-01,21.2,Cairo
1852-04-01,26.997,Mumbai
1852-04-01,12.302,Beijing
1852-04-01,,Tokyo
1852-04-01,13.263,New York
1852-04-01,9.856,Chicago
1852-04-01,17.482,Los Angeles
1852-04-01,,Sydney
1852-04-01,16.904,Buenos Aires
1852-04-01,25.627,Lagos
1852-04-01,17.162,Nairobi
1852-04-01,28.407,Bangkok
1852-04-01,7.208,Toronto
1852-05-01,20.775,Rome
1852-05-01,15.512,Paris
1852-05-01,13.993,London
1852-05-01,12.921,Berlin
1852-05-01,20.299,Madrid
1852-05-01,11.026,Moscow
1852-05-01,17.73,Istanbul
1852-05-01,25.171,Cairo
1852-05-01,29.034,Mumbai
1852-05-01,19.192,Beijing
1852-05-01,19.932,Tokyo
1852-05-01,,New York
1852-05-01,17.782,Chicago
1852-05-01,,Los Angeles
1852-05-01,13.391,Sydney
1852-05-01,13.156,Buenos Aires
1852-05-01,29.982,Lagos
1852-05-01,19.514,Nairobi
1852-05-01,29.68,Bangkok
1852-05-01,15.781,Toronto
1852-06-01,22.775,Rome
1852-06-01,18.407,Paris
1852-06-01,17.09,London
1852-06-01,17.715,Berlin
1852-06-01,22.589,Madrid
1852-06-01,16.652,Moscow
1852-06-01,19.948,Istanbul
1852-06-01,27.273,Cairo
1852-06-01,29.53,Mumbai
1852-06-01,24.538,Beijing
1852-06-01,24.331,Tokyo
1852-06-01,22.623,New York
1852-06-01,21.11,Chicago
1852-06-01,21.286,Los Angeles
1852-06-01,9.767,Sydney
1852-06-01,12.354,Buenos Aires
1852-06-01,29.402,Lagos
1852-06-01,19.722,Nairobi
1852-06-01,29.969,Bangkok
1852-06-01,19.888,Toronto
1852-07-01,24.632,Rome
1852-07-01,20.067,Paris
1852-07-01,17.442,London
1852-07-01,19.991,Berlin
1852-07-01,23.568,Madrid
1852-07-01,19.709,Moscow
1852-07-01,22.12,Istanbul
1852-07-01,29.073,Cairo
1852-07-01,29.897,Mumbai
1852-07-01,26.594,Beijing
1852-07-01,24.468,Tokyo
1852-07-01,26.522,New York
1852-07-01,23.929,Chicago
1852-07-01,21.792,Los Angeles
1852-07-01,8.665,Sydney
1852-07-01,,Buenos Aires
1852-07-01,28.183,Lagos
1852-07-01,19.331,Nairobi
1852-07-01,29.847,Bangkok
1852-07-01,21.794,Toronto
1852-08-01,23.606,Rome
1852-08-01,18.075,Paris
1852-08-01,17.456,London
1852-08-01,17.033,Berlin
1852-08-01,23.262,Madrid
1852-08-01,16.685,Moscow
1852-08-01,21.72,Istanbul
1852-08-01,29.004,Cairo
